species,bio1,bio5,bio6,bio12,bio16,bio17,clade
Acanthocercus_adramitanus,214.3787311,323.2556376,99.13745222,164.3727299,86.84761709,10.89651407,Iguania
Acanthocercus_annectens,250.0951381,346.5917656,153.1441321,337.661004,177.0083048,16.9950657,Iguania
Acanthocercus_atricollis,219.8096094,320.1546499,101.3837507,824.1935125,478.712191,35.6761536,Iguania
Acanthocercus_cyanogaster,233.8473049,305.9205256,153.0454716,1061.320985,606.0810732,28.04812925,Iguania
Acanthocercus_yemensis,193.384863,308.5795572,69.94744728,220.2111218,111.6618082,14.80747425,Iguania
Acanthodactylus_ahmaddisii,165.8402923,314.8997034,20.00159293,153.7402774,96.86510238,0,Lacertoidea
Acanthodactylus_arabicus,225.1640029,321.1734781,127.1059659,105.1022057,56.62791431,6.982652351,Lacertoidea
Acanthodactylus_aureus,225.7962705,336.5935312,118.0408979,60.40999452,40.06200938,1.038553915,Lacertoidea
Acanthodactylus_bedriagai,143.3959019,321.8032859,9.000591595,382.2309065,132.1608148,42.68527542,Lacertoidea
Acanthodactylus_beershebensis,189.9001418,324.4820496,63.4133113,259.8870539,163.1140904,0,Lacertoidea
Acanthodactylus_blanci,156.0714292,335.252235,24.76796771,475.9826246,180.4496368,40.09801995,Lacertoidea
Acanthodactylus_boueti,267.9700913,356.9337347,192.9381784,1251.053788,616.4804441,39.49694777,Lacertoidea
Acanthodactylus_busacki,202.2035399,325.7797032,80.82550581,83.12227948,45.75598301,1.25205005,Lacertoidea
Acanthodactylus_dumerilii,217.1835157,392.1235093,61.32669778,84.15246258,40.04385868,4.784288806,Lacertoidea
Acanthodactylus_erythrurus,148.0374884,313.211351,21.27179439,485.8048501,188.3203137,38.42476347,Lacertoidea
Acanthodactylus_felicis,230.7858281,336.762145,113.6620428,68.65032213,34.78543302,5.120516475,Lacertoidea
Acanthodactylus_gongrorhynchatus,267.0577179,401.9192455,121.875842,63.64669865,44.31098564,0,Lacertoidea
Acanthodactylus_grandis,210.9561079,400.5242453,31.6836286,109.8475794,55.54469988,0.066041417,Lacertoidea
Acanthodactylus_haasi,254.4474073,386.1305662,114.8875863,70.21428658,41.99018159,1.465912026,Lacertoidea
Acanthodactylus_maculatus,180.5341586,365.0917744,27.20393703,203.3364578,76.61306991,16.93747859,Lacertoidea
Acanthodactylus_masirae,266.8433071,371.6200313,159.5331423,36.77204392,23.66082654,1.858053672,Lacertoidea
Acanthodactylus_opheodurus,236.310572,384.8865858,81.99455241,107.0176058,56.65261373,1.630836005,Lacertoidea
Acanthodactylus_orientalis,202.8974746,407.5792671,27.64382828,214.86903,111.3415589,0.166910657,Lacertoidea
Acanthodactylus_pardalis,191.7598736,307.8073274,66.78146684,110.7382311,73.08910845,0.173186841,Lacertoidea
Acanthodactylus_robustus,182.2516558,369.8065072,14.56680506,125.4790677,62.01131035,0.065972266,Lacertoidea
Acanthodactylus_savignyi,161.6131402,309.7886393,45.03485934,588.7199848,261.7376042,27.0223099,Lacertoidea
Acanthodactylus_schmidti,250.7439791,404.5326092,92.6016847,92.1764752,54.10527722,0.742952852,Lacertoidea
Acanthodactylus_schreiberi,185.6470107,326.915888,62.86265869,498.1914618,300.2370576,6.607347562,Lacertoidea
Acanthodactylus_senegalensis,278.2503618,408.4761624,130.4840996,123.5285703,104.2725088,0.451652614,Lacertoidea
Acanthodactylus_spinicauda,159.0332661,352.4916077,16.66759506,252.277091,83.22071036,28.29753773,Lacertoidea
Acanthodactylus_taghitensis,254.0161644,430.0333208,91.4055675,50.32279786,28.17976779,1.744316087,Lacertoidea
Acanthodactylus_tilburyi,217.3097849,384.1478486,37.40393944,73.84654826,35.06622981,0.060283688,Lacertoidea
Acanthodactylus_tristrami,163.4427937,330.4241999,15.23843775,212.4315477,124.1071811,0.273294363,Lacertoidea
